system:index,LST_Day_count,LST_Day_mean,LST_Day_p10,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p90,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_MF_0,1508,0.02173746607798377,-1.5603833874458861,-0.5600388124946977,-2.4337878787878693,0.014333831710999499,0.5559901277584157,1.683790079365076,2.4402504409170955,1.4674256003688766,2005.0,MF,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_1,31,0.41497799422799264,-0.28333333333335986,0.0,-1.0228571428571627,0.14027777777781125,0.9371428571428737,1.6650000000000205,2.1967857142857383,0.9353071790154915,2005.0,MF,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_2,1413,-0.002046407100015994,-1.6574809523809335,-0.5973449546485321,-2.4703968253968243,0.004523332242404042,0.5822063492063475,1.6503961038960995,2.482472222222185,1.4698890451707338,2005.0,MF,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_3,35,0.22300263863121067,-0.8917142857142721,-0.36333333333334394,-1.0998181818181934,0.0,0.32833333333331893,0.5069642857142753,1.3765000000000214,1.8615630803026728,2005.0,MF,2004.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_4,31,0.4661313364055315,-0.20222222222218988,-0.016666666666623087,-0.6714285714285779,0.13875000000001592,0.5874999999999773,1.4949999999999761,2.8993333333332885,1.0487193184733377,2005.0,MF,2004.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_0,1497,-0.047889463390465514,-2.0588139589169043,-0.804896666666666,-3.1585680272108902,0.014643182225809964,0.5558376322751322,1.9428369047619156,3.053350732600725,1.8194118496388714,2006.0,MF,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_1,31,0.06922394451426649,-0.5632323232323415,-0.16250000000002274,-0.7526666666666699,0.0076190476190731715,0.38457142857140525,0.8214285714285836,1.088750000000033,0.5649860557616401,2006.0,MF,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_2,1402,-0.057227475488531174,-2.1933550420168095,-0.931723214285717,-3.1585680272108902,0.013449969109400998,0.6878341836734744,2.062035409035419,3.053350732600725,1.8708604931372403,2006.0,MF,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_3,35,0.11702656153370543,-0.5242222222222495,-0.10472222222222172,-1.2123809523809541,0.0,0.5330000000000155,1.3777777777777942,1.455000000000041,0.9124675660756691,2006.0,MF,2004.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_4,31,0.08941077828980647,-0.4242857142856735,-0.22785714285714675,-0.7192857142857179,0.026666666666642413,0.27761904761899814,0.9160714285713993,1.050833333333344,0.5269673569855937,2006.0,MF,2004.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_0,1493,0.013844517319399799,-1.5899949494949561,-0.4710093260648844,-2.541825396825402,0.004147169907619257,0.528893308080813,1.6515029761904714,2.4647952380952347,1.4775071819121663,2007.0,MF,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_1,30,0.21628862433862064,-0.31799999999999784,0.0,-0.39500000000001023,0.1279761904761756,0.4986666666666508,0.7841818181818354,1.099999999999966,0.44216888363744467,2007.0,MF,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_2,1400,0.004365598072562104,-1.7219174603174565,-0.5211502645502529,-2.5922847222222316,0.00408630952380854,0.5303381542699787,1.7180634920634867,2.5467857142857184,1.5114854494462027,2007.0,MF,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_3,34,0.04195481071216487,-0.8088888888888732,-0.33713888888891574,-1.0699999999999932,0.0,0.23099999999999454,0.6312500000000227,1.92349999999999,0.6965062332308173,2007.0,MF,2004.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_4,31,0.2636420890937001,-0.4991666666666674,-0.17200000000002547,-1.3536666666666406,0.06999999999999318,0.585714285714289,0.9375,2.376666666666665,1.0992567355186509,2007.0,MF,2004.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_0,1489,0.0046421949999859964,-1.4314203296703278,-0.4356328856328851,-2.2125535714285647,0.01711135294376257,0.4384737750172545,1.545793290043296,2.303607142857153,1.5015929920147497,2008.0,MF,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
