system:index,LST_Day_count,LST_Day_mean,LST_Day_p10,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p90,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_TOT_0,8226,0.022701711156579728,-2.622338481338482,-0.8727656855393056,-3.863528404344196,0.05076936565586669,0.8703173258003754,2.6151323921899143,3.627014991181658,2.3487905638123556,2005.0,TOT,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_1,544,0.08071850198412873,-0.9083333333333409,-0.2856150793650798,-1.4021309523809482,0.010695954106279939,0.41052698412698874,1.0271957671957699,1.7099999999999511,0.9773134794359084,2005.0,TOT,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_2,6888,-0.01759077323341281,-2.8765746287762437,-0.878089659535309,-4.132292640692645,0.04433521876951672,1.1268787878787878,2.8631082166199797,4.099685034013609,2.5113045597978454,2005.0,TOT,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_3,663,0.37520751470751357,-0.6830470899471001,-0.17975727513227863,-1.050197278911546,0.19300430597771184,0.6895236772486782,1.5655253968254044,2.160863095238085,1.2136548751168879,2005.0,TOT,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_TOT_4,152,0.14516144053315172,-1.5233333333333405,-0.5749999999999886,-2.207333333333338,0.013497448979594293,0.725654761904778,1.9000000000000057,3.2058333333333167,1.6409473453506573,2005.0,TOT,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_0,8265,0.08885942289544826,-3.6210675940788284,-1.3788360938578352,-5.373481150793654,0.04222265696590484,1.3746965843929186,3.8751422222222223,5.878228422619044,3.393199121560135,2006.0,TOT,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_1,527,-0.2292397312786312,-2.5319444444444628,-0.8176871184371307,-3.667777777777777,0.024164902998235743,0.5514853801169609,1.5496666666666556,2.8556250000000034,2.1607921135034447,2006.0,TOT,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_2,6947,0.09860291926856643,-3.8921746031746007,-1.6288109152752004,-5.6225557539682525,0.03539715519809354,1.625065234877737,4.368499609679933,6.3723222222222216,3.621525542222656,2006.0,TOT,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_3,660,0.28119894015916636,-0.6148392084106433,-0.17100682419433136,-0.8850416666666447,0.14647137188208603,0.6718112874779459,1.2042711640211603,1.6255019841269842,0.7974543514568905,2006.0,TOT,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_TOT_4,150,-0.06635260942761041,-3.262500000000003,-0.7116666666666731,-4.52000000000001,0.02721825396825077,0.8003035714285787,2.0649999999999977,4.719166666666666,2.7175228673584857,2006.0,TOT,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_0,8270,0.030876704338252046,-1.8119188652938654,-0.5606743158801973,-2.8145193452380983,0.01775563214480911,0.6845228882228912,1.8139021793902723,2.93756565656565,1.8637925350155709,2007.0,TOT,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_1,559,0.10453571170431625,-0.7816666666666947,-0.2146386408730141,-1.461904761904762,0.006915571975918186,0.46016319444444065,1.1470694444444451,1.5649999999999977,0.9297369784713139,2007.0,TOT,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_2,6918,0.008846141744125107,-2.0685116514691013,-0.6878816556158349,-3.0700009523809526,0.01613933848780971,0.6835982758620717,2.052389610389604,3.197732426303856,2.0031283098721926,2007.0,TOT,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_3,661,0.21440933322854672,-0.5785436507936529,-0.17150198412698123,-0.825914141414124,0.11090277777778468,0.5820039682539702,1.0443888888888821,1.6067954545454768,0.7457713543024507,2007.0,TOT,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_TOT_4,153,0.019654903375494297,-0.9074999999999989,-0.3710138888888821,-1.5854761904762142,0.0037653439153435405,0.422073412698424,1.0246666666666329,1.455972222222229,0.824821390967642,2007.0,TOT,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_TOT_0,8261,0.04465547126547614,-2.6310267611176683,-0.8670460669482848,-3.876625558035711,0.04860802625767074,0.8751259259259264,2.6223598429062354,4.118022344322342,2.5155159145665356,2008.0,TOT,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
