system:index,LST_Night_count,LST_Night_mean,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_5km_loss_2001_analysis_2002_BF_0,266,-6.213015683491029E-4,-0.8238970003880285,-3.248333333333619,0.04133448861991246,1.0464635449735415,3.0831060363250176,1.9973934762068943,2002.0,BF,2001.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_1,16,0.21499140544441162,-0.4825396825397173,-0.9954777777777963,-0.1422761904761759,0.37998004370839267,5.0047368421052765,1.3617909354048632,2002.0,BF,2001.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_2,180,-0.03217149100960499,-1.022713090513844,-3.7250555555550657,0.03624083951745744,1.4310685806397136,3.203562962963002,2.191018597908057,2002.0,BF,2001.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_3,35,-0.08357806547780999,-0.43867249417249876,-3.1063571428569734,-0.007708333333223516,0.6694444444443763,1.4815873015873358,1.1807541220369646,2002.0,BF,2001.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_4,36,0.12236152295287983,-0.7687619047618175,-2.711944444444317,0.21948131313124808,1.0052777777791528,3.365000000000009,1.805301299987006,2002.0,BF,2001.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_0,265,-0.1520873378483514,-0.8972850529099178,-3.0303055555553855,-0.08081195457970318,0.6482376809697457,2.874333333332947,1.6923999854947462,2003.0,BF,2001.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_1,16,-0.45641081294341446,-0.880228145847678,-1.4800892857143242,-0.3727857142855493,-0.26377857142853767,0.5930158730158155,0.571258882412181,2003.0,BF,2001.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_2,178,-0.09121372135836198,-1.1096628787885514,-3.1535111111110155,-0.07711482168611283,0.8417560541311637,3.2100000000000364,1.8458054094036462,2003.0,BF,2001.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_3,36,-0.3668262197129784,-0.37857229992236424,-4.549937500000165,0.00633597883588248,0.3519595959594501,1.1378174603173563,1.6636900472897191,2003.0,BF,2001.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_4,36,-0.11695688637987765,-0.8776775793650708,-2.2800000000000296,-0.03983769841256679,0.6020615646260905,1.61685034013599,1.104449788592525,2003.0,BF,2001.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_BF_0,264,0.10287513240312696,-0.6871065343915427,-2.6677023809524094,0.02143724146232431,0.8976939033187558,3.104000000000495,1.7392513735345352,2004.0,BF,2001.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_BF_1,16,0.14029370114403644,-0.47720436507941155,-1.7474999999997038,-0.17030000000002019,0.5700817805382801,2.611565162907199,1.0677884460766727,2004.0,BF,2001.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_BF_2,176,0.13730809231514848,-0.8440992063492652,-2.7960000000000242,0.02411689664511485,1.2071703042328583,3.5524545454542897,1.9198226046911469,2004.0,BF,2001.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_BF_3,37,0.01815341896170469,-0.3526000000002725,-1.0242941176473006,-0.05916666666523285,0.675679138321928,1.5239206349209344,1.2112237058563677,2004.0,BF,2001.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_BF_4,36,-0.040100975520786786,-0.646741496598772,-4.239999999999952,0.35125000000000184,0.7548060515872872,2.2992380952380076,1.4687052986585436,2004.0,BF,2001.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2005_BF_0,263,-0.06522232616950527,-0.9340402966746595,-3.589102564102778,-0.07401275146822232,0.9444258762810472,2.920469907407508,1.9864429148955687,2005.0,BF,2001.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2005_BF_1,16,-0.30059157116787644,-0.4363888888888994,-4.9249999999993594,-0.16181060606063535,0.36301932367147194,1.4383223443222164,1.3599420212284856,2005.0,BF,2001.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2005_BF_2,176,-0.047332022710552854,-1.182510130718962,-4.356589743589399,-0.13655126297330256,1.1724890350881507,3.5646215997508737,2.2775292743625752,2005.0,BF,2001.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
