system:index,LST_Day_count,LST_Day_mean,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_5km_loss_2001_analysis_2002_TOT_0,3227,0.2229999418550394,-0.23478522036845392,-1.017739972897186,0.20456115037031564,0.6736885803975882,1.5205813270236526,0.7916379401586681,2002.0,TOT,2001.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_TOT_1,118,0.30328240994589534,-0.36162254412256445,-1.61749999999968,0.2190531305119876,0.7906131996658571,2.7281567460316403,1.1205615008526593,2002.0,TOT,2001.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_TOT_2,2879,0.203812971739991,-0.23515660208587355,-0.9829723838703077,0.20468679064692497,0.6396158622112758,1.395019944205545,0.736754088256873,2002.0,TOT,2001.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_TOT_3,183,0.5290801609587136,-0.19803895857933007,-1.2468703703703667,0.37074404761887436,1.1211489898990123,2.798451178451142,1.1680304831939947,2002.0,TOT,2001.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_TOT_4,53,0.11286620366654551,-0.4544670231728709,-1.7110714285715822,0.1337070707071426,0.5863183421517775,1.9360634920635391,0.9788261786075985,2002.0,TOT,2001.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_TOT_0,3252,0.20456533613676844,-0.46660491310018537,-1.7844426132589823,0.15524153658680298,0.904778453578807,2.22482438364585,1.2266986426511282,2003.0,TOT,2001.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_TOT_1,150,0.29425112008248133,-0.38311728395071043,-1.3181136363637762,0.18286073374718637,0.9493750000000922,2.408018759018791,1.0712683090924764,2003.0,TOT,2001.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_TOT_2,2872,0.19158038236713776,-0.4662076176987907,-1.8307190095406298,0.15489757977755197,0.9046205740173962,2.2251410161673033,1.244474581297852,2003.0,TOT,2001.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_TOT_3,182,0.3951696114512772,-0.26163369703710987,-1.0449767676768822,0.3712717575596227,1.0184770843139788,2.2210247933884126,1.074305409004158,2003.0,TOT,2001.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_TOT_4,54,0.05584774461081216,-0.7751709956708233,-1.6549258373203912,0.02276868686903022,0.6611078042326817,2.347445075757644,1.0534071593853456,2003.0,TOT,2001.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
