system:index,LST_Night_count,LST_Night_mean,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_5km_loss_2001_analysis_2002_BF_0,267,-0.013185874503232694,-0.704144002525196,-2.953096790890546,-0.06533132680393748,0.5590774383684747,3.2678571428571246,1.8630596177731797,2002.0,BF,2001.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_1,16,-0.24177913273743407,-0.6664090909090024,-1.0002222222221917,-0.23831420431424588,0.1713504140787535,0.6139999999999759,0.4905559841426695,2002.0,BF,2001.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_2,179,-0.029781228677927596,-1.168345358345653,-3.318333333332686,-0.0633612360685455,0.7849761904758719,3.912354978355184,2.2346692106276596,2002.0,BF,2001.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_3,37,-0.021858444077228773,-0.39313617376781096,-1.2750952380951652,0.09124999999998096,0.42749999999998956,0.8762564102564454,0.5798049701547838,2002.0,BF,2001.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_4,36,0.1640566478400448,-0.22728505291023104,-1.0948333333327582,0.27960800264543245,0.6477777777778231,1.0054166666663042,0.65760506055353,2002.0,BF,2001.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_0,267,-0.028220546192236403,-0.5312356840690385,-1.536203703703621,-0.027268851783153202,0.4639125744047136,1.5242560735171753,1.0264519633535254,2003.0,BF,2001.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_1,16,-0.23461819793876995,-0.8833357142858684,-1.1256547619049302,-0.3642265873015944,0.12773809523798896,2.189000000000274,0.822556516560781,2003.0,BF,2001.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_2,179,-0.04155156760307095,-0.6653975907028646,-1.890000000000131,-0.02614514411029763,0.6085532396797888,1.5863756613754931,1.1744449919567665,2003.0,BF,2001.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_3,37,0.05013148871772636,-0.3423500000000175,-0.9752090132089695,0.06752645502649912,0.3921728395061308,1.1189379509379327,0.551564615275592,2003.0,BF,2001.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_4,36,0.027825608619112024,-0.30874051226553134,-0.7750000000000341,-0.11520201247154471,0.4543841765867054,1.1452777777777392,0.5675704154387022,2003.0,BF,2001.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_BF_0,266,-0.03874026436197092,-0.5821525425740387,-2.2153417107586546,-2.428685248891324E-4,0.65976345525215,2.009999999999991,1.2636406101841946,2004.0,BF,2001.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_BF_1,16,0.060645952154739835,-0.5589640211636988,-0.8911111111111154,-0.10940238095236676,0.6977884199134703,1.223111111111061,0.6691451169971006,2004.0,BF,2001.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_BF_2,178,-0.03255920935548108,-0.7857170918368299,-2.672300207039742,0.10701505952370508,0.8487815709618719,2.3846428571428646,1.4674290695888927,2004.0,BF,2001.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_BF_3,37,-0.07999472785095645,-0.41716363636365816,-1.5233333333333743,-0.1816765873015891,0.2657142857141377,1.1318571428575837,0.6579410997697209,2004.0,BF,2001.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2004_BF_4,36,-0.09016951158889351,-0.63522799422761,-1.1728789682539045,-0.10257360368397617,0.4843432539681385,0.9668909090909032,0.7133339116771337,2004.0,BF,2001.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2005_BF_0,266,-0.120238644717735,-0.625,-1.9613095238095184,-0.04972255485005528,0.5197446145124336,1.2538281249999645,0.9931721285679375,2005.0,BF,2001.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2005_BF_1,16,-0.29931500499962654,-0.5697994248907641,-1.8867222222223825,-0.320162037036968,-0.15617848124107603,0.841010101010113,0.6329814671302972,2005.0,BF,2001.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2005_BF_2,178,-0.11192547065496254,-0.6674206349204161,-2.233918498168077,-0.0347260015118361,0.5573639455784387,1.3308571428571365,1.0982696298312324,2005.0,BF,2001.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
