system:index,LST_Day_count,LST_Day_mean,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_5km_loss_2001_analysis_2002_BF_0,267,0.16592705572841326,-0.3306386011502043,-1.0933333333335575,0.045503527336859285,0.6040724206348722,1.470527777777626,0.81693099755609,2002.0,BF,2001.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_1,16,0.5429143856967842,-0.23514492753628602,-0.5454629629629828,0.3771371693121246,1.009410052910006,2.597142857142842,0.9071685839762358,2002.0,BF,2001.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_2,179,0.132740400590907,-0.32873683806853293,-0.9197261904763874,0.014772444726950081,0.601891534391464,1.393703703703709,0.7669073347145111,2002.0,BF,2001.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_3,37,0.38302030478857724,-0.248378446115332,-1.3087777777780474,0.2882771164021598,1.0764399092970542,2.549841710758379,0.9965394275476519,2002.0,BF,2001.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2002_BF_4,36,-0.023901414300654917,-0.4612221737179496,-1.4029707602336892,0.006703102453004206,0.38993718434339364,1.1214176136364316,0.7141409513072414,2002.0,BF,2001.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_0,265,0.055572544854147886,-0.6319194139192739,-1.9049827467219675,0.14963754293633968,0.7725658115879291,2.1029604377104705,1.3236958328853954,2003.0,BF,2001.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_1,16,0.6221254300801435,-0.5518959627330311,-1.1168838383837816,0.771005050505142,1.6685358585857877,2.2038030303031064,1.150774777707044,2003.0,BF,2001.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_2,177,0.008421795450906211,-0.8526746031748409,-2.1606666666667866,0.2108875661375708,0.9153479532160631,2.09444444444447,1.4746854181893732,2003.0,BF,2001.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_3,37,0.16570858552916026,-0.5103383458647812,-1.6113483709273595,0.14220033670033416,0.6988251748251848,1.8754466891133355,0.9447193631685721,2003.0,BF,2001.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2001_analysis_2003_BF_4,36,0.013553160079142756,-0.498402693602765,-1.5577232142855983,-0.044992122309977844,0.5394703823957556,1.2866000000001705,0.8224993492468201,2003.0,BF,2001.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
