system:index,Forest Loss Total,year,.geo
0,2.4377228031334016E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.6005524836253684E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.282864273287497E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5.076896127702206E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.41288588347843E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.8647950471889604E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.591556541594765E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,3.0112962682905365E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.455395865999995E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.1791118413715675E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.4491775101366952E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4.075104382566756E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.7292409154778454E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4.21374599145515E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.1697386572166294E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.7954606469823025E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4.923352826062371E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,7.066018075250508E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,5.453344088480154E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,5.4077669964272894E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4.8431317492192045E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,6.982599557510604E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,8.909440690411043E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
